"Site","Latitude","Longitude","Year","Date","Depth_ft","Transect","Classcode","Amount","Size","Distance"
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Large Anemone",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Mottled Star",5,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Ochre Star",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Rock Crab",10,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,1,"Sunflower Star",1,30,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Blood Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Kelp Crab",12,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Mottled Star",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Ochre Star",4,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Plumose Anemone",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Rock Crab",9,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,19.5,2,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Blood Star",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Kelp Crab",9,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Mottled Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Ochre Star",4,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Rock Crab",10,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Short Spined Star",8,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,14,3,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Blood Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Kelp Crab",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Mottled Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Ochre Star",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Rock Crab",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,8,4,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Blood Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Giant Spined Star",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Kelp Crab",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Mottled Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Ochre Star",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Rock Crab",5,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,7,5,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Blood Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Kelp Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Mottled Star",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Ochre Star",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Rock Crab",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2022,2022-08-31,2,6,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Blood Star",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Blue Striped Sun Star",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"California Sea Cucumber",5,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Hairy Triton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Kelp Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Large Anemone",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Mottled Star",7,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Ochre Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Orange Cucumber",3,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Piddock Clam",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Rock Crab",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Slender Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38,1,"Sunflower Star",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Blood Star",5,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"California Sea Cucumber",7,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Hairy Triton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Kelp Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Mottled Star",4,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Ochre Star",15,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Orange Cucumber",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Piddock Clam",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Rock Crab",5,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Slender Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,38.5,2,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Blood Star",8,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"California Sea Cucumber",28,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Dawson's Sun Star",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Hairy Triton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Kelp Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Kelp Crab (Juvenile)",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Large Anemone",2,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Mottled Star",8,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Ochre Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Orange Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Piddock Clam",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Rock Crab",6,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Short Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Slender Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,43.5,3,"Sunflower Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Bat Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Blood Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Blue Striped Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"California Sea Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Dawson's Sun Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Dungeness Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Giant Pacific Octopus",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Giant Spined Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Green Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Green/Pallid Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Gumboot Chiton",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Hairy Triton",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Kelp Crab",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Kelp Crab (Juvenile)",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Large Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Leather Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Mottled Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Ochre Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Orange Cucumber",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Piddock Clam",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Pinto Abalone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Plumose Anemone",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Purple Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Rainbow Star",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Red Urchin",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Rock Crab",1,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Rock Scallop",0,NA,30
"Foulweather Bluff",47.941083,-122.6012,2023,2023-08-09,16,4,"Short Spined Star",0,NA,30
