"Site","Latitude","Longitude","Year","Date","Transect","Classcode","Sex_Age","Amount","Size_category","Size_mean_cm","Size_min_cm","Size_max_cm","Depth_ft","depth_start_ft","depth_end_ft","Visibility_m"
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Kelp Greenling",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Kelp Perch",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Lingcod",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Pile Perch",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Puget Sound YOY",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Quillback Rockfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Red Irish Lord",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Shiner Perch",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Spiny Dogfish",NA,1,NA,45,45,45,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Spiny Dogfish",NA,1,NA,70,70,70,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Spotted Ratfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Striped Perch",NA,1,NA,17,17,17,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Striped Perch",NA,1,NA,22,22,22,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Striped Perch",NA,1,NA,13,13,13,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Vermillion YOY",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Wolf Eel",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Yelloweye YOY",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,6,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,5,6,4,NA
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Black Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Blue Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Bocaccio YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Brown Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,16,16,16,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,14,14,14,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,17,17,17,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,19,19,19,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,24,24,24,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,17,17,17,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,1,NA,20,20,20,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,2,NA,25,25,25,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Buffalo Sculpin",NA,2,NA,23,23,23,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Cabezon",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Canary Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Canary YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"China Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Copper Rockfish",NA,1,NA,35,35,35,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Deacon Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Forage Fish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Gopher Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Grass Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Kelp Greenling",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Kelp Perch",NA,3,NA,23,23,23,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Lingcod",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Pile Perch",NA,5,NA,17,16,18,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Puget Sound YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Quillback Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Red Irish Lord",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Shiner Perch",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Spiny Dogfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Spotted Ratfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Striped Perch",NA,1,NA,11,11,11,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Striped Perch",NA,1,NA,23,23,23,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Striped Perch",NA,10,NA,22.5,20,25,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Striped Perch",NA,11,NA,17.5,15,20,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Vermillion YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Yelloweye YOY",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,7,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,18,18,18,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Black Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Blue Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Bocaccio YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Brown Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Cabezon",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Canary Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Canary YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"China Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Copper Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Deacon Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Forage Fish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Gopher Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Grass Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Kelp Greenling",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Kelp Perch",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Lingcod",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Pile Perch",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Puget Sound YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Quillback Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Red Irish Lord",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Shiner Perch",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Spiny Dogfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Spotted Ratfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Striped Perch",NA,1,NA,34,34,34,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Vermillion YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Yelloweye YOY",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,8,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,1.5,1,2,6
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Black Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Blue Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Bocaccio YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Brown Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Buffalo Sculpin",NA,1,NA,20,20,20,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Buffalo Sculpin",NA,4,NA,15,15,15,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Cabezon",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Canary Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Canary YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"China Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Copper Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Deacon Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Forage Fish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Gopher Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Grass Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Kelp Greenling",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Kelp Perch",NA,2,NA,7,7,7,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Lingcod",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Pile Perch",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Puget Sound YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Quillback Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Red Irish Lord",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Shiner Perch",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Spiny Dogfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Spotted Ratfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Striped Perch",NA,3,NA,10,10,10,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Vermillion YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Yelloweye YOY",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,9,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,22.5,21,24,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Black Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Blue Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Bocaccio YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Brown Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Buffalo Sculpin",NA,1,NA,20,20,20,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Buffalo Sculpin",NA,3,NA,15,15,15,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Cabezon",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Canary Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Canary YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"China Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Copper Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Deacon Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Forage Fish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Gopher Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Grass Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Kelp Greenling",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Kelp Perch",NA,1,NA,12,12,12,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Kelp Perch",NA,1,NA,10,10,10,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Lingcod",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Pile Perch",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Puget Sound Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Puget Sound YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Quillback Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Red Irish Lord",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Shiner Perch",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Spiny Dogfish",NA,2,NA,105,105,105,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Spotted Ratfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Striped Perch",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Vermilion Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Vermillion YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Whitespotted Greenling",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Yelloweye Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Yelloweye YOY",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,10,"Yellowtail Rockfish",NA,0,NA,NA,NA,NA,19,19,19,5.2
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Black Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Black/Yellowtail YOY",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Blue Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Blue/Deacon YOY",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Bocaccio YOY",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Brown Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Brown/Copper/Quillback YOY",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Buffalo Sculpin",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Cabezon",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Canary Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Canary YOY",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"China Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Copper Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Deacon Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Forage Fish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Gopher Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Grass Rockfish",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Kelp Greenling",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Kelp Perch",NA,0,NA,NA,NA,NA,7.5,8,7,5
"Fox Island East Wall",47.228194,-122.589757,2025,2025-08-31,11,"Lingcod",NA,0,NA,NA,NA,NA,7.5,8,7,5
